Order Number,Purchase Confirmation Date
"20,170,831,125,498,700,000",20170831
"20,170,807,063,247,900,000",20170807
"20,170,819,096,643,000,000",20170819
"20,170,830,122,364,900,000",20170830
"20,170,830,121,122,500,000",20170830
"20,170,802,046,990,200,000",20170802
"20,170,802,047,423,800,000",20170802
"20,170,811,077,848,900,000",20170815
"20,170,916,159,578,500,000",20170922
"20,170,902,127,882,900,000",20170902
"20,170,926,177,631,400,000",20170926
"20,170,913,154,340,200,000",20170918
"20,170,905,137,513,900,000",20170913
"20,170,912,152,129,900,000",20170919
"20,170,915,158,465,900,000",20170915
"20,170,906,138,496,200,000",20170920
"20,170,908,142,368,200,000",20170913
"20,170,903,131,076,900,000",20170909
"20,170,919,165,373,500,000",20170926
"20,170,916,159,695,600,000",20170916
"20,170,903,131,089,800,000",20170903
"20,170,910,148,725,200,000",20170910
"20,170,926,177,029,500,000",20170930
"20,170,907,141,649,100,000",20170907
"20,170,912,152,265,500,000",20170916
"20,170,925,175,365,300,000",20170930
"20,170,911,149,690,100,000",20170913
"20,170,916,160,376,900,000",20170916
"20,170,902,129,486,100,000",20170903
"20,170,906,138,861,700,000",20170913
"20,170,905,135,368,500,000",20171004
"20,170,902,127,917,400,000",20170902
"20,170,922,170,191,800,000",20170922
"20,170,915,157,901,500,000",20170920
"20,170,927,179,508,700,000",20171004
"20,170,914,155,914,100,000",20171011
"20,170,925,175,865,900,000",20170925
"20,170,916,160,157,200,000",20170916
"20,170,912,153,044,500,000",20170912
"20,170,906,140,088,300,000",20170921
"20,170,911,150,727,900,000",20170915
"20,170,923,171,915,000,000",20170923
"20,170,908,142,760,400,000",20170914
"20,170,912,151,692,900,000",20170916
"20,170,908,144,071,400,000",20170911
"20,170,924,173,947,100,000",20171004
"20,170,914,155,867,700,000",20170920
"20,170,906,138,040,700,000",20170928
"20,170,914,156,088,000,000",20170919
"20,170,914,157,042,600,000",20170914
"20,170,902,129,171,700,000",20170913
"20,170,919,165,283,800,000",20170922
"20,170,930,183,512,100,000",20170930
"20,170,903,130,667,400,000",20170904
"20,170,909,147,698,200,000",20170915
"20,170,906,139,588,200,000",20170911
"20,170,917,161,329,800,000",20170926
"20,171,022,215,933,300,000",20171027
"20,171,013,204,054,000,000",20171019
"20,171,020,213,964,200,000",20171025
"20,171,026,221,759,300,000",20171101
"20,171,010,198,323,000,000",20171017
"20,171,018,211,662,300,000",20171025
"20,171,016,208,058,800,000",20171025
"20,171,017,209,103,200,000",20171024
